"","nazwa","modem","wyswietlacz","pamiec_RAM","pamiec_wbudowana","cena","liczba_opini","ocena"
"1","Apple iPad Wi-Fi","WiFi 802.11 ac","9,7 cala, Retina, 2048 x 1536","2 GB RAM ","128 GB",2819,"3",5
"2","Apple iPad mini 4 Wi-Fi "," WiFi 802.11 ac","7,9 cala, Retina, 2048 x 1536","2 GB RAM ","32 GB",2399,"5",4
"3","Apple iPad Wi-Fi 32GB MP2G2FD/A","WiFi 802.11 ac","9,7 cala, Retina, 2048 x 1536","2 GB RAM ","16 GB",1332,"0",2
"4","Samsung Galaxy Tab 3 10.1 16GB GT-P5210 ","WiFi 802.11 a/b/g/n","7,9 cala, Retina, 2048 x 1536","1 GB RAM ","128 GB",901,"4",1
"5","Apple iPad Wi-Fi + Cellular 128GB","WiFi 802.11 ac","9,7 cala, Retina, 2048 x 1536","2 GB RAM ","32 GB",2310,"8",4
"6","Apple iPad Pro 9,7 Wi-Fi","WiFi 802.11 ac","10,1 cala, TFT, 1280 x 800","1 GB RAM ","32 GB",3306,"1",2
"7","NavRoad Nexo 10 3G","WiFi 802.11 b/g/n,","9,7 cala, Retina, 2048 x 1536","2 GB RAM ","32 GB",500,"2",1
"8","Apple iPad XD","WiFi 802.11 b/g/n,","9,7 cala, Retina, 2048 x 1536","2 GB RAM ","4 GB",639,"3",5
"9","Apple iPad XII","WiFi 802.11 b/g/n","7 cali, TFT, 1024 x 600","2 GB RAM ","16 GB",939,"1",1
"10","Apple iPad CDS","WiFi 802.11 ac","9,7 cala, IPS, 2048 x 1536","2 GB RAM ","16 GB",839,"1",3
"11","Apple iPad Wi-Fi","WiFi 802.11 ac","9,7 cala, Extrim, 2048 x 1536","8 GB RAM ","512 GB",5478,"3",5
"12","Apple iPad Wi-Fi X","WiFi 802.11 ac","9,7 cala, Extrim, 2048 x 1536","8 GB RAM ","512 GB",7478,"7",5
"13","Apple iPad Wi-Fi 1","WiFi 802.11 ac","9,7 cala, Extrim, 2048 x 1536","6 GB RAM ","128 GB",4654,"1",4
"14","Apple iPad Wi-Fi 2","WiFi 802.11 ac","9,7 cala, Extrim, 2048 x 1536","4 GB RAM ","254 GB",1233,"4",5
"15","Apple iPad Wi-Fi 4","WiFi 802.11 ac","9,7 cala, Extrim, 2048 x 1536","8 GB RAM ","64 GB",1651,"9",3
