"","nazwa","modem","wyswietlacz","pamiec_RAM","pamiec_wbudowana","cena","liczba_opini","ocena","status_opinii_1"
"1","Apple iPad Wi-FiCCZ","WiFi 802.11 ac","9,7  , Retina, 2048 x 1536","2 ","128 ",2819,"3",5,"Ma³o"
"2","Apple iPad mini 4 Wi-Fi "," WiFi 802.11 ac","7,9  , Retina, 2048 x 1536","2 ","32 ",2399,"5",4,"Œdernio"
"3","Apple iPad Wi-Fi 32GB MP2G2FD/A","WiFi 802.11 ac","9,7  , Retina, 2048 x 1536","2 ","16 ",1332,"0",2,"Brak"
"4","Samsung Galaxy Tab 3 10.1 16GB GT-P5210 ","WiFi 802.11 a/b/g/n","7,9  , Retina, 2048 x 1536","1 ","128 ",901,"4",1,"Œdernio"
"5","Apple iPad Wi-Fi + Cellular 128GB","WiFi 802.11 ac","9,7  , Retina, 2048 x 1536","2 ","32 ",2310,"8",4,"Du¿o"
"6","Apple iPad Pro 9,7 Wi-Fi","WiFi 802.11 ac","10,1  , TFT, 1280 x 800","1 ","32 ",3306,"1",2,"Ma³o"
"7","NavRoad Nexo 10 3G","WiFi 802.11 b/g/n,","9,7  , Retina, 2048 x 1536","2 ","32 ",500,"2",1,"Ma³o"
"8","Apple iPad XD","WiFi 802.11 b/g/n,","9,7  , Retina, 2048 x 1536","2 ","4 ",639,"3",5,"Ma³o"
"9","Apple iPad XII","WiFi 802.11 b/g/n","7 cali, TFT, 1024 x 600","2 ","16 ",939,"1",1,"Ma³o"
"10","Apple iPad CDS","WiFi 802.11 ac","9,7  , IPS, 2048 x 1536","2 ","16 ",839,"1",3,"Ma³o"
"12","Apple iPad Wi-Fi X","WiFi 802.11 ac","9,7  , Extrim, 2048 x 1536","8 ","512 ",7478,"7",5,"Du¿o"
"13","Apple iPad Wi-Fi 1","WiFi 802.11 ac","9,7  , Extrim, 2048 x 1536","6 ","128 ",4654,"1",4,"Ma³o"
"14","Apple iPad Wi-Fi 2","WiFi 802.11 ac","9,7  , Extrim, 2048 x 1536","4 ","254 ",1233,"4",5,"Œdernio"
"15","Apple iPad Wi-Fi 4","WiFi 802.11 ac","9,7  , Extrim, 2048 x 1536","8 ","64 ",1651,"9",3,"Bardzo duzo"
