> nor <- function(x) {
+   return ((x - min(x)) / (max(x) - min(x)))
+ }
> 
> arg <-as.data.frame(runif(100, min = 1, max = 100))
> wynik_f <- arg^3-2*arg
> 
> arg
    runif(100, min = 1, max = 100)
1                        33.640613
2                        74.928313
3                        46.900785
4                         6.180652
5                        42.459315
6                        83.483149
7                        73.993021
8                        75.988615
9                        12.685979
10                        4.738097
11                       35.128198
12                       40.759561
13                       46.496407
14                       51.018226
15                       67.861286
16                       65.128929
17                       60.531996
18                       37.719596
19                       53.149476
20                       27.302109
21                       56.442187
22                       20.620608
23                       82.717183
24                       35.336412
25                       74.944197
26                       58.887681
27                       36.711043
28                       34.623254
29                        8.251102
30                       35.389637
31                       98.164490
32                        1.452783
33                       63.237760
34                       94.120441
35                       38.983544
36                       83.720753
37                       68.059045
38                       33.980272
39                       98.440292
40                       26.539703
41                       20.070069
42                       66.092429
43                       47.867331
44                       51.963134
45                       33.753677
46                       64.360838
47                       22.363144
48                       30.687743
49                       15.147781
50                       98.351177
51                        2.227005
52                       13.897652
53                        2.584836
54                        9.828888
55                       27.360357
56                       49.790758
57                       81.239751
58                       75.265427
59                       62.513581
60                       44.614740
61                       72.290435
62                       67.111503
63                        7.840737
64                       12.118583
65                       83.679598
66                       42.637891
67                       87.414080
68                       69.651664
69                       94.980119
70                       42.244453
71                       64.597885
72                       91.535020
73                       50.085813
74                       77.392195
75                       40.777143
76                       86.878743
77                       78.387383
78                       60.747023
79                       97.989781
80                       58.548957
81                       33.643071
82                        2.914789
83                       35.849142
84                       56.563354
85                       31.373209
86                       24.197721
87                       93.203519
88                       50.935507
89                       34.512782
90                       29.812064
91                       52.747298
92                       96.409167
93                        8.733039
94                       65.854115
95                       86.487201
96                       63.131362
97                       24.744532
98                       20.665501
99                       41.963879
100                      55.664152
> wynik_f
    runif(100, min = 1, max = 100)
1                     3.800349e+04
2                     4.205166e+05
3                     1.030731e+05
4                     2.237424e+02
5                     7.646046e+04
6                     5.816635e+05
7                     4.049614e+05
8                     4.386268e+05
9                     2.016234e+03
10                    9.689204e+01
11                    4.327760e+04
12                    6.763404e+04
13                    1.004283e+05
14                    1.326912e+05
15                    3.123760e+05
16                    2.761322e+05
17                    2.216756e+05
18                    5.359079e+04
19                    1.500339e+05
20                    2.029653e+04
21                    1.796961e+05
22                    8.726836e+03
23                    5.657965e+05
24                    4.405256e+04
25                    4.207841e+05
26                    2.040905e+05
27                    4.940208e+04
28                    4.143606e+04
29                    5.452384e+02
30                    4.425214e+04
31                    9.457429e+05
32                    1.606471e-01
33                    2.527622e+05
34                    8.335925e+05
35                    5.916598e+04
36                    5.866451e+05
37                    3.151157e+05
38                    3.916766e+04
39                    9.537379e+05
40                    1.864032e+04
41                    8.044238e+03
42                    2.885734e+05
43                    1.095818e+05
44                    1.402052e+05
45                    3.838842e+04
46                    2.664743e+05
47                    1.113931e+04
48                    2.883842e+04
49                    3.445443e+03
50                    9.511497e+05
51                    6.590933e+00
52                    2.656463e+03
53                    1.210060e+01
54                    9.298819e+02
