"","nazwa","pamiec_RAM","pamiec_wbudowana","cena","liczba_opini","ocena","status_opinii_1"
"1","Apple iPad Wi-FiCCZ","2 ","128 ",2819,"3",5,"Ma³o"
"2","Apple iPad mini 4 Wi-Fi ","2 ","32 ",2399,"5",4,"Œdernio"
"3","Apple iPad Wi-Fi 32GB MP2G2FD/A","2 ","16 ",1332,"0",2,"Brak"
"4","Samsung Galaxy Tab 3 10.1 16GB GT-P5210 ","2 ", "128 ",901,"4",1,"Œdernio"
"5","Apple iPad Wi-Fi + Cellular 128GB","2 ","32 ",2310,"8",4,"Du¿o"
"6","Apple iPad Pro 9,7 Wi-Fi","1 ","32 ",3306,"1",4,"Ma³o"
"7","NavRoad Nexo 10 3G","2 ","32 ",500,"2",1,"Ma³o"
"8","Apple iPad XD","2 ","4 ",639,"3",5,"Ma³o"
"9","Apple iPad XII","2 ","16 ",939,"1",1,"Ma³o"
"10","Apple iPad CDS","2 ","16 ",839,"1",3,"Ma³o"
"12","Apple iPad Wi-Fi X","8 ","512 ",7478,"7",5,"Du¿o"
"13","Apple iPad Wi-Fi 1","6 ","128 ",4654,"1",4,"Ma³o"
"14","Apple iPad Wi-Fi 2","4 ","254 ",1233,"4",5,"Œdernio"
"15","Apple iPad Wi-Fi 4","8 ","64 ",1651,"9",3,"Bardzo duzo"
